epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.8742,1.8932,3.2037,1.38623,0.00985,0.9569,0.07263,0.02713,1.80137,3.17544,1.28301,0.00014,0.00014,0.00014
2,51.7794,1.77674,2.49228,1.27418,0.00971,0.97126,0.69292,0.22704,1.56696,2.96928,1.1087,0.00029703,0.00029703,0.00029703
3,75.8005,1.79632,1.73028,1.20975,0.02932,0.86782,0.78602,0.32875,1.59792,2.75587,1.10017,0.000450892,0.000450892,0.000450892
4,99.8369,1.73517,1.39095,1.22003,0.81511,0.74744,0.79606,0.2948,1.56076,2.71305,1.07658,0.000601586,0.000601586,0.000601586
5,142.04,1.6876,1.29111,1.27318,0.88822,0.30747,0.62981,0.21068,1.56066,2.63252,1.11958,0.000749112,0.000749112,0.000749112
6,187.746,1.66911,1.28371,1.29742,0.0096,0.95977,0.59532,0.26819,1.54721,2.61839,1.18594,0.00089347,0.00089347,0.00089347
7,234.645,1.6753,1.17107,1.2786,0.00983,0.98276,0.889,0.42316,1.58101,2.572,1.22602,0.00103466,0.00103466,0.00103466
8,258.397,1.59055,1.09163,1.26833,0.98306,0.83395,0.9681,0.47183,1.58528,2.31647,1.2132,0.00117268,0.00117268,0.00117268
9,290.842,1.62422,1.10727,1.28855,0.80939,0.78161,0.81065,0.36595,1.60958,2.4216,1.21215,0.00130754,0.00130754,0.00130754
10,337.335,1.59939,1.07793,1.27367,0.99178,0.34684,0.78471,0.38045,1.54874,2.53118,1.27421,0.00143922,0.00143922,0.00143922
11,383.888,1.57928,1.04587,1.24296,0.93396,0.40638,0.84582,0.30748,1.73486,2.48511,1.35774,0.00156774,0.00156774,0.00156774
12,423.723,1.59526,1.05629,1.28251,0.00793,0.77299,0.10384,0.05218,1.8527,3.3777,1.72264,0.00169309,0.00169309,0.00169309
13,469.601,1.54619,1.02547,1.21413,1,0.03559,0.3748,0.13639,1.87152,3.05772,1.511,0.0017624,0.0017624,0.0017624
14,516.161,1.68975,1.02018,1.26081,0.96089,0.4236,0.81566,0.37951,1.67645,2.32244,1.32501,0.0017426,0.0017426,0.0017426
15,561.48,1.65022,1.02532,1.27515,0.95413,0.92529,0.96794,0.45792,1.693,1.62659,1.31135,0.0017228,0.0017228,0.0017228
16,605.368,1.63356,0.99655,1.29854,0.9518,0.9646,0.9841,0.47124,1.65111,1.26335,1.37586,0.001703,0.001703,0.001703
17,650.693,1.60688,1.02872,1.28183,0.82748,0.83621,0.85534,0.43875,1.55102,1.20674,1.28981,0.0016832,0.0016832,0.0016832
18,692.84,1.60654,0.96931,1.24945,0.84224,0.90517,0.91973,0.49968,1.4636,1.13981,1.21829,0.0016634,0.0016634,0.0016634
19,717.596,1.54652,0.95233,1.23928,0.96049,0.978,0.99025,0.50044,1.60601,1.06213,1.29526,0.0016436,0.0016436,0.0016436
20,746.877,1.50273,0.93438,1.20438,0.97415,0.97472,0.99172,0.56422,1.45849,0.95868,1.17681,0.0016238,0.0016238,0.0016238
21,790.47,1.58065,0.944,1.21854,0.91373,0.9023,0.97009,0.48795,1.6377,1.04052,1.32632,0.001604,0.001604,0.001604
22,836.506,1.55275,0.91051,1.2234,0.94528,0.96264,0.9884,0.53621,1.51335,0.96968,1.29733,0.0015842,0.0015842,0.0015842
23,881.489,1.53238,0.8804,1.22797,0.91426,0.88864,0.94364,0.48894,1.53163,1.06517,1.29076,0.0015644,0.0015644,0.0015644
24,927.047,1.55628,0.90371,1.21463,0.95717,0.83482,0.93919,0.53186,1.43787,1.03707,1.19192,0.0015446,0.0015446,0.0015446
25,959.576,1.5533,0.94013,1.2251,0.95802,0.8477,0.9253,0.52098,1.47041,1.04871,1.19121,0.0015248,0.0015248,0.0015248
26,983.26,1.57759,0.92593,1.23157,0.968,0.85632,0.95125,0.40869,1.84566,1.19333,1.44994,0.001505,0.001505,0.001505
27,1006.7,1.48947,0.88102,1.19287,0.96878,0.98078,0.98563,0.54644,1.44197,1.03176,1.22295,0.0014852,0.0014852,0.0014852
28,1029.99,1.52413,0.88848,1.23309,0.94769,0.97414,0.98706,0.56667,1.44543,1.05347,1.23454,0.0014654,0.0014654,0.0014654
29,1053.26,1.52093,0.88081,1.21584,0.90562,0.9569,0.95901,0.55726,1.3867,1.01772,1.21377,0.0014456,0.0014456,0.0014456
30,1076.55,1.52205,1.01057,1.25125,0.95502,0.97611,0.99122,0.57775,1.38698,0.86988,1.19218,0.0014258,0.0014258,0.0014258
31,1099.87,1.44613,0.83215,1.18559,0.96297,0.97149,0.99037,0.50981,1.59443,0.91285,1.28143,0.001406,0.001406,0.001406
32,1123.18,1.4665,0.81757,1.18809,0.97991,0.98104,0.99117,0.55201,1.46021,0.82778,1.248,0.0013862,0.0013862,0.0013862
33,1146.85,1.51464,0.79329,1.20643,0.94608,0.95805,0.98041,0.51242,1.51036,0.94336,1.28422,0.0013664,0.0013664,0.0013664
34,1169.83,1.44476,0.82798,1.19315,0.97758,0.99138,0.99292,0.5827,1.37077,0.84879,1.192,0.0013466,0.0013466,0.0013466
35,1193.27,1.39901,0.79987,1.17611,0.99426,0.99598,0.99438,0.58761,1.36839,0.76727,1.18415,0.0013268,0.0013268,0.0013268
36,1216.45,1.47197,0.81347,1.17443,0.99666,1,0.995,0.56757,1.46005,0.77409,1.23575,0.001307,0.001307,0.001307
37,1239.62,1.44201,0.79065,1.18036,0.99426,0.99583,0.9926,0.58187,1.36902,0.74477,1.15648,0.0012872,0.0012872,0.0012872
38,1262.9,1.42748,0.75747,1.15388,0.99126,0.97751,0.99162,0.56735,1.41048,0.77808,1.18511,0.0012674,0.0012674,0.0012674
39,1286.07,1.47935,0.74887,1.19302,0.98289,0.9905,0.99197,0.57004,1.38257,0.78053,1.1923,0.0012476,0.0012476,0.0012476
40,1309.35,1.40941,0.74302,1.17371,0.98281,0.98567,0.99134,0.55965,1.36683,0.81972,1.19824,0.0012278,0.0012278,0.0012278
41,1332.43,1.41182,0.74564,1.17068,0.98543,0.99425,0.99336,0.58754,1.35002,0.79055,1.18553,0.001208,0.001208,0.001208
42,1355.5,1.38039,0.76616,1.17197,0.98431,0.99425,0.99221,0.57299,1.43694,0.80491,1.23888,0.0011882,0.0011882,0.0011882
43,1379.3,1.40806,0.76423,1.16934,0.98743,0.99713,0.99269,0.5406,1.59644,0.84329,1.35069,0.0011684,0.0011684,0.0011684
44,1402.93,1.33228,0.7247,1.13658,0.99411,0.99713,0.99365,0.52352,1.64135,0.79085,1.36678,0.0011486,0.0011486,0.0011486
45,1426.1,1.39544,0.70722,1.14933,0.9953,0.99713,0.99405,0.5883,1.36071,0.69683,1.18677,0.0011288,0.0011288,0.0011288
46,1449.05,1.36004,0.70076,1.15859,0.99138,0.99202,0.99367,0.57292,1.37655,0.7107,1.18284,0.001109,0.001109,0.001109
47,1471.94,1.3468,0.68897,1.13431,0.99711,0.99036,0.99373,0.60855,1.27343,0.66453,1.11566,0.0010892,0.0010892,0.0010892
